Fold,Actual_CBR,Predicted_CBR,Residual
1,1.31,4.3544,3.0444
1,11.0,12.6594,1.6594
1,5.0,10.5682,5.5682
1,5.0,5.3058,0.3058
1,4.0,18.6945,14.6945
1,5.0,3.7386,1.2614
1,10.0,17.244,7.244
1,3.63,2.905,0.725
1,3.4,4.0902,0.6902
1,3.51,3.0163,0.4937
1,2.63,2.2479,0.3821
1,1.75,2.3618,0.6118
1,2.38,2.6434,0.2634
1,3.51,3.0163,0.4937
1,74.51,68.5395,5.9705
1,38.3,34.0732,4.2268
1,20.4,20.1043,0.2957
1,18.4,21.251,2.851
1,14.95,21.3898,6.4398
1,63.9,53.9254,9.9746
1,59.1,53.9254,5.1746
1,32.78,33.3926,0.6126
1,21.69,24.7738,3.0838
1,0.244,0.3311,0.0871
1,0.32,0.3315,0.0115
1,0.402,0.3315,0.0705
1,0.223,0.3698,0.1468
1,0.487,0.3607,0.1263
1,0.474,0.3607,0.1133
1,0.939,0.5791,0.3599
1,0.266,0.3315,0.0655
1,0.264,0.3311,0.0671
1,0.388,0.3607,0.0273
1,0.313,0.3607,0.0477
1,0.442,0.3698,0.0722
1,0.41,0.3607,0.0493
1,0.205,0.3315,0.1265
1,0.525,0.519,0.006
1,0.27,0.3315,0.0615
1,0.348,0.3607,0.0127
1,0.311,0.3315,0.0205
1,0.389,0.3315,0.0575
1,0.295,0.3315,0.0365
1,0.88,0.5791,0.3009
1,0.204,0.3315,0.1275
1,0.218,0.3315,0.1135
1,0.247,0.3315,0.0845
1,0.183,0.3315,0.1485
1,0.218,0.3315,0.1135
1,0.372,0.3698,0.0022
1,0.471,0.4084,0.0626
1,0.309,0.3315,0.0225
1,0.27,0.3315,0.0615
1,0.353,0.3698,0.0168
1,0.329,0.3315,0.0025
1,0.372,0.3698,0.0022
1,0.329,0.3698,0.0408
1,0.292,0.3698,0.0778
1,0.182,0.3315,0.1495
1,0.565,0.5793,0.0143
1,0.292,0.3698,0.0778
2,1.93,3.7382,1.8082
2,1.86,3.7092,1.8492
2,3.56,3.5358,0.0242
2,3.1,3.7263,0.6263
2,3.41,13.6942,10.2842
2,4.35,3.463,0.887
2,5.57,5.2166,0.3534
2,5.66,4.7624,0.8976
2,4.98,8.6364,3.6564
2,4.21,4.0463,0.1637
2,4.33,3.6908,0.6392
2,5.83,4.1282,1.7018
2,4.3,5.4594,1.1594
2,3.88,3.9205,0.0405
2,5.12,3.9927,1.1273
2,4.51,4.2276,0.2824
2,5.68,4.6007,1.0793
2,4.1,4.1267,0.0267
2,3.87,4.3037,0.4337
2,3.78,3.8894,0.1094
2,2.56,3.8545,1.2945
2,3.1,4.1194,1.0194
2,3.87,3.9895,0.1195
2,4.92,3.6583,1.2617
2,3.42,3.2045,0.2155
2,2.65,3.2881,0.6381
2,2.64,3.4338,0.7938
2,3.27,3.4512,0.1812
2,4.62,4.2168,0.4032
2,4.87,6.0894,1.2194
2,4.87,4.1554,0.7146
2,4.27,4.021,0.249
2,3.28,3.8804,0.6004
2,23.7,21.9068,1.7932
2,19.7,21.9068,2.2068
2,35.1,32.5701,2.5299
2,33.54,34.1539,0.6139
2,38.23,37.4691,0.7609
2,35.81,35.7999,0.0101
2,44.34,8.0603,36.2797
2,54.2,4.5118,49.6882
2,47.43,21.256,26.174
2,42.77,38.5113,4.2587
2,57.95,25.7292,32.2208
2,40.0,28.511,11.489
2,39.0,38.6826,0.3174
2,32.0,35.4156,3.4156
2,38.0,38.3399,0.3399
2,27.0,38.452,11.452
2,38.0,37.4624,0.5376
2,36.0,37.4573,1.4573
2,38.0,37.4969,0.5031
2,39.0,36.1783,2.8217
2,39.4,34.8031,4.5969
2,38.0,37.3083,0.6917
2,38.0,36.8991,1.1009
2,36.0,35.5888,0.4112
2,39.4,24.5248,14.8752
2,27.0,27.0867,0.0867
2,29.0,28.8069,0.1931
2,27.0,28.8446,1.8446
2,22.0,21.5241,0.4759
2,28.0,27.2124,0.7876
2,30.0,29.5218,0.4782
2,30.0,29.1192,0.8808
2,23.0,24.6888,1.6888
2,20.0,17.1909,2.8091
2,32.0,31.9661,0.0339
2,30.0,27.9778,2.0222
2,30.0,32.0523,2.0523
2,26.0,31.4288,5.4288
2,20.0,21.491,1.491
2,18.0,16.0607,1.9393
2,29.0,28.9566,0.0434
2,33.0,28.8068,4.1932
2,29.0,29.4435,0.4435
2,18.0,16.6458,1.3542
2,33.0,37.2252,4.2252
2,32.0,32.6251,0.6251
2,25.0,23.4776,1.5224
2,22.0,20.596,1.404
2,16.0,12.5407,3.4593
2,5.4,2.3975,3.0025
2,5.7,8.2967,2.5967
2,3.9,4.8634,0.9634
2,2.4,5.3449,2.9449
2,3.1,4.6998,1.5998
2,6.1,13.2246,7.1246
2,2.0,3.8244,1.8244
2,0.83,2.4007,1.5707
2,2.6,3.5438,0.9438
2,10.0,11.8784,1.8784
2,17.8545,17.5087,0.3458
2,23.3642,22.5346,0.8296
2,22.5208,22.574,0.0532
2,19.7068,19.5423,0.1645
2,20.9626,20.5416,0.421
2,20.0612,19.6328,0.4284
2,23.12,25.3213,2.2013
2,28.8966,24.4344,4.4622
2,29.6222,30.2804,0.6582
2,29.3354,24.7305,4.6049
2,23.8,30.2804,6.4804
2,18.9546,18.4783,0.4763
2,19.7781,19.6432,0.1349
2,19.4736,18.7657,0.7079
2,20.4421,20.4066,0.0355
2,20.8964,20.7825,0.1139
2,20.5224,20.6288,0.1064
2,20.8693,20.8589,0.0104
2,24.289,24.3146,0.0256
2,20.5318,20.6288,0.097
2,21.3954,21.2383,0.1571
2,20.958,20.7825,0.1755
2,19.2837,20.174,0.8903
2,19.9124,20.188,0.2756
2,15.3258,15.5005,0.1747
2,16.356,16.4637,0.1077
2,16.7643,17.1409,0.3766
2,16.2244,17.1317,0.9073
2,16.9025,17.1409,0.2384
2,19.4048,19.9188,0.514
2,21.2321,21.0924,0.1397
2,19.8063,20.078,0.2717
2,16.7336,16.6993,0.0343
2,14.1231,14.5903,0.4672
2,14.6532,14.8497,0.1965
2,14.27,14.6444,0.3744
2,15.1395,15.5005,0.361
2,13.4852,14.413,0.9278
2,22.0,14.7203,7.2797
2,23.0,27.9716,4.9716
2,35.0,32.0237,2.9763
2,42.0,42.0865,0.0865
2,35.0,29.2839,5.7161
2,31.0,33.0929,2.0929
2,14.2,15.7585,1.5585
2,30.0,32.6522,2.6522
2,49.5,50.78,1.28
2,8.37,8.3603,0.0097
2,8.93,8.1939,0.7361
2,9.03,8.0684,0.9616
2,8.74,8.5398,0.2002
2,8.53,8.408,0.122
2,8.74,15.1177,6.3777
2,7.9,7.5455,0.3545
2,8.8,8.7117,0.0883
2,9.9,10.9488,1.0488
2,2.88,3.7396,0.8596
2,2.83,4.1468,1.3168
2,2.63,2.6386,0.0086
2,1.75,2.5233,0.7733
2,1.89,2.2613,0.3713
2,2.51,2.3701,0.1399
2,1.88,2.5155,0.6355
2,2.13,2.8047,0.6747
2,3.4,4.3169,0.9169
2,3.51,3.1201,0.3899
2,3.51,4.6325,1.1225
2,2.38,2.3042,0.0758
2,8.0,8.1391,0.1391
2,8.0,8.0107,0.0107
2,8.0,8.9459,0.9459
2,8.0,7.3392,0.6608
2,8.0,7.2862,0.7138
2,8.0,6.2819,1.7181
2,10.0,8.9459,1.0541
2,10.0,8.9459,1.0541
2,7.55,8.7507,1.2007
2,7.53,8.0473,0.5173
2,6.08,5.4928,0.5872
2,10.29,11.8143,1.5243
2,4.02,3.1311,0.8889
2,6.37,5.0044,1.3656
2,7.95,5.9462,2.0038
2,1.38,2.8867,1.5067
2,3.4,3.5453,0.1453
2,1.75,2.5233,0.7733
2,3.4,3.3898,0.0102
2,4.13,3.5152,0.6148
2,3.63,3.03,0.6
2,2.38,2.671,0.291
2,48.3,41.5407,6.7593
2,40.8,41.488,0.688
2,29.64,27.3393,2.3007
2,41.56,19.9317,21.6283
2,18.23,18.4116,0.1816
2,4.22,10.559,6.339
2,5.4,6.1906,0.7906
2,7.1,6.1531,0.9469
2,3.5,5.0644,1.5644
2,8.0,7.9464,0.0536
2,4.2,4.7512,0.5512
2,5.02,4.3678,0.6522
2,3.54,3.432,0.108
2,7.57,7.6105,0.0405
2,2.33,2.6372,0.3072
2,3.29,4.1515,0.8615
2,4.61,4.3027,0.3073
2,4.9,4.7089,0.1911
2,5.01,4.3678,0.6422
2,5.75,5.5945,0.1555
2,4.22,4.4401,0.2201
2,3.18,4.1515,0.9715
2,3.21,3.5386,0.3286
2,4.75,4.8292,0.0792
2,7.7,7.9464,0.2464
2,4.86,4.7512,0.1088
2,2.2,2.7199,0.5199
2,3.2,4.0375,0.8375
2,2.5,2.486,0.014
2,2.0,2.1387,0.1387
2,1.9,2.3487,0.4487
2,24.76,23.3824,1.3776
2,35.85,34.6768,1.1732
2,37.0,26.3652,10.6348
2,30.0,42.3314,12.3314
2,0.26,0.3297,0.0697
2,0.3,0.3297,0.0297
2,0.29,0.3297,0.0397
2,0.32,0.3297,0.0097
2,0.25,0.3297,0.0797
2,0.62,0.495,0.125
2,5.6,4.7389,0.8611
2,4.0,4.0593,0.0593
2,4.05,4.6597,0.6097
2,3.64,3.89,0.25
2,4.0,4.1144,0.1144
2,3.5,3.8241,0.3241
2,3.44,3.8241,0.3841
2,3.43,3.8492,0.4192
2,4.0,3.8443,0.1557
2,5.49,5.2757,0.2143
2,4.8,5.93,1.13
2,5.2,5.3767,0.1767
2,3.62,4.0389,0.4189
2,4.49,4.298,0.192
2,4.0,4.1339,0.1339
2,4.0,3.89,0.11
2,4.01,3.89,0.12
2,4.0,3.89,0.11
2,4.0,4.1804,0.1804
2,4.05,3.8191,0.2309
2,3.57,3.8241,0.2541
2,4.0,3.8492,0.1508
2,4.34,3.6161,0.7239
2,3.64,3.5009,0.1391
2,3.29,3.1808,0.1092
2,3.43,3.5009,0.0709
2,4.0,3.8979,0.1021
2,4.0,3.9142,0.0858
2,3.26,3.8464,0.5864
2,4.13,3.8464,0.2836
2,3.49,3.8464,0.3564
2,3.29,3.8464,0.5564
2,4.0,3.9142,0.0858
2,4.18,3.9142,0.2658
2,3.94,3.9142,0.0258
2,3.94,3.9142,0.0258
2,3.64,3.9142,0.2742
2,3.07,3.8464,0.7764
2,4.0,3.8464,0.1536
2,3.49,3.8464,0.3564
2,3.08,3.8464,0.7664
2,3.21,3.7865,0.5765
2,3.66,3.7121,0.0521
2,3.68,3.7121,0.0321
2,3.2,3.8699,0.6699
2,2.81,3.5229,0.7129
2,8.13,5.4483,2.6817
2,8.82,7.3286,1.4914
2,9.1,4.8857,4.2143
2,3.2,3.7518,0.5518
2,16.1,8.7024,7.3976
2,5.5,2.1553,3.3447
2,4.84,22.7951,17.9551
2,1.56,2.5722,1.0122
2,2.95,4.0702,1.1202
2,8.0,7.9817,0.0183
2,9.0,14.6766,5.6766
2,35.0,51.8479,16.8479
2,36.0,19.6888,16.3112
2,63.0,53.174,9.826
2,11.0,13.782,2.782
2,8.0,32.1247,24.1247
2,2.63,2.6386,0.0086
2,2.38,2.3042,0.0758
2,4.15,3.2311,0.9189
2,2.51,2.3701,0.1399
2,2.51,4.3594,1.8494
2,2.38,2.671,0.291
2,4.13,3.5152,0.6148
2,2.13,2.8047,0.6747
2,1.75,2.2482,0.4982
2,40.8,48.6485,7.8485
